ORGID,Industry,Region,Size,SecurityBudget,PrimarySecurityTeam,Maturity,Complexity,ExerciseFrequency,Threats,TTPs,Aims,Sector,Country,DataAtRisk,AttackPatterns,ActorMotivation
11,Ransomware,Asia,Small,Low,Hybrid,4,1,240,Ransomware,Discovery;Acquire Infrastructure;Lateral Movement;Reconnaissance;Resource Development;Command Obfuscation,Akira;DDoS;Penquin,Finance,CN,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
12,Data Breach,North America,Large,High,In-house,1,2,270,Data Breach,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Impact;Disk Wipe;Silver Ticket;Resource Development;Remote Services;Dynamic Data Exchange;Collection;Cloud Accounts;Archive via Custom Method;Disable or Modify Network Device Firewall,Poseidon Group;QakBot;Remote Access Tools,Retail,US,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
13,Phishing,North America,Medium,Medium,Hybrid,1,2,300,Phishing;Data Breach;Ransomware,Command Obfuscation;Windows File and Directory Permissions Modification;Cloud Accounts,SilverTerrier;Windows Management Instrumentation Event Subscription;Mispadu;Crypto Miner,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
14,Remote Access Trojan,Oceania,Small,High,In-house,1,4,120,Remote Access Trojan;Web Shell,Execution;Gather Victim Identity Information;DNS Server;Mshta;Command And Control;Data Encoding;File Transfer Protocols;Databases;Publish/Subscribe Protocols;Ingress Tool Transfer,ShrinkLocker;Insider Threat;APT3,Technology,AU,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
15,Web Shell,Europe,Large,High,In-house,3,2,180,Web Shell;Data Breach;Banking Trojan,Code Signing;Bypass User Account Control,Replication Through Removable Media;Chaos;Insider Threat,Retail,FR,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
16,Web Shell,Middle East,Large,High,In-house,3,4,150,Web Shell;Remote Access Trojan;Ransomware,Windows File and Directory Permissions Modification;Digital Certificates;Local Data Staging;Data Encrypted for Impact;Group Policy Modification;Discovery;Ingress Tool Transfer;Mshta;Defense Evasion;RC Scripts;Initial Access,Saint Bear;Banking Trojan;Bad Rabbit,Education,IL,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
17,Ransomware,Africa,Medium,Low,In-house,5,4,270,Ransomware;Web Shell;Banking Trojan,Reconnaissance;Remote Desktop Protocol;Archive via Custom Method;Web Protocols;Data Encrypted for Impact;Clear Command History;Privilege Escalation;System Network Configuration Discovery,Chaos;Supply Chain;LSASS Memory;Gamaredon Group,Government,ZA,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
18,Ransomware,North America,Medium,Low,Hybrid,3,4,210,Ransomware;Crypto Miner,Steal or Forge Authentication Certificates;Establish Accounts;SMB/Windows Admin Shares;Command Obfuscation;Initial Access;Lateral Movement;Environmental Keying;Group Policy Discovery;Collection;Reconnaissance,Bad Rabbit;Ke3chang;Data Breach,Professional Services,US,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
19,Banking Trojan,Europe,Medium,Medium,Hybrid,2,2,210,Banking Trojan;Ransomware,Dynamic Data Exchange;Impact;Windows Management Instrumentation Event Subscription;Persistence;Code Repositories;Initial Access;Outlook Home Page;Lateral Movement;Reconnaissance;Command And Control,LSASS Memory;Bad Rabbit;APT3;Phishing,Administrative,GB,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
20,Web Shell,Africa,Small,High,Outsourced,2,1,210,Web Shell;Ransomware,Vulnerability Scanning;Local Accounts;Ingress Tool Transfer;Defense Evasion;Data Encrypted for Impact;Initial Access,Gallmaker;Chaos;Exfiltration Over Unencrypted Non-C2 Protocol;Remote Access Trojan,Healthcare,ZA,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
21,Remote Access Trojan,South America,Medium,High,Outsourced,4,2,180,Remote Access Trojan;Ransomware;Web Shell,DNS Server;Dynamic Data Exchange;RC Scripts;Acquire Infrastructure;Data Encrypted for Impact,Ransomware;Poseidon Group;Exaramel for Windows,Education,BR,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
22,Ransomware,Europe,Medium,Medium,Outsourced,1,4,30,Ransomware,Web Protocols;Credential Access,Storm-1811;Crypto Miner;Resource Hijacking,Education,FI,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
23,Ransomware,Africa,Small,Medium,Hybrid,2,1,210,Ransomware;Web Shell;Phishing,DNS Server;Remote Desktop Protocol;Vulnerability Scanning;Debugger Evasion;Browser Information Discovery;Code Repositories;Domain Groups;Impact;Spearphishing Attachment,FIN4;Business Relationships;Penquin;Supply Chain,Finance,ZA,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
24,Remote Access Trojan,South America,Medium,High,Hybrid,4,1,180,Remote Access Trojan,Virtual Private Server;Remote Access Tools;Defense Evasion;RC Scripts;Publish/Subscribe Protocols,Banking Trojan;Remote Access Tools;Saint Bear;Chaos,Government,AR,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
25,Banking Trojan,South America,Large,Medium,Hybrid,3,3,90,Banking Trojan;Data Breach,Registry Run Keys / Startup Folder;Outlook Home Page;Code Repositories;Bypass User Account Control;Reconnaissance;Password Guessing;Disable or Modify Network Device Firewall,LSASS Memory;P.A.S. Webshell;Remote Access Trojan;Sandworm Team,Retail,AR,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
26,Data Breach,Europe,Medium,High,Outsourced,4,1,150,Data Breach,Disable or Modify Network Device Firewall;Exfiltration Over Unencrypted Non-C2 Protocol;Archive via Custom Method;Disk Wipe;Cloud Accounts;Domain Groups;Exfiltration Over Bluetooth;Password Guessing,Web Portal Capture;TA577;Banking Trojan;P.A.S. Webshell,Healthcare,GB,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
27,Ransomware,Oceania,Small,High,Hybrid,4,2,120,Ransomware;Data Breach;DDoS,Disk Wipe;Cloud Accounts,Ke3chang;Remote Service Session Hijacking;Ransomware,Finance,AU,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
28,Supply Chain,Europe,Large,High,Outsourced,4,4,150,Supply Chain;Ransomware,Dynamic Data Exchange;Acquire Access;Domain Groups,LAPSUS$;Insider Threat;P.A.S. Webshell,Transportation,GB,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
29,Web Shell,Europe,Medium,High,Outsourced,5,5,60,Web Shell;Ransomware;DDoS,System Network Configuration Discovery;Replication Through Removable Media;Vulnerability Scanning;Exfiltration Over Unencrypted Non-C2 Protocol;Lateral Movement;Timestomp;File Transfer Protocols;Credential Access;Privilege Escalation;Local Accounts;Resource Development,Exfiltration Over Unencrypted Non-C2 Protocol;REvil;Data Breach;Moonstone Sleet,Finance,GB,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
30,Data Breach,Oceania,Medium,Medium,Outsourced,4,4,300,Data Breach;Remote Access Trojan;Web Shell,Registry Run Keys / Startup Folder;Vulnerability Scanning;Virtual Private Server;Domain Groups;Network Devices;Disable or Modify Network Device Firewall;File Transfer Protocols;Remote Email Collection;Defense Evasion,Exfiltration Over Unencrypted Non-C2 Protocol;LAPSUS$;Remote Access Trojan,Education,AU,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
31,Ransomware,North America,Medium,Medium,Outsourced,3,1,210,Ransomware;Phishing,Execution;Local Accounts;System Owner/User Discovery;Acquire Infrastructure;Discovery;Parent PID Spoofing;Defense Evasion;IP Addresses;Windows Management Instrumentation Event Subscription;Control Panel;Reconnaissance,VERMIN;Remote Access Trojan;Gallmaker;Modify Cloud Compute Configurations,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
32,Ransomware,North America,Large,Low,Outsourced,4,1,120,Ransomware;Remote Access Trojan;Supply Chain,Resource Development;Collection;Publish/Subscribe Protocols;Privilege Escalation;Invalid Code Signature;Discovery;Network Trust Dependencies;Compromise Software Supply Chain;Network Devices;Defense Evasion,Remote Service Session Hijacking;Carbanak;Pacu,Healthcare,MX,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
33,DDoS,Middle East,Small,High,In-house,2,4,270,DDoS,Relocate Malware;Resource Development;Persistence;Disable or Modify Cloud Firewall;Exfiltration Over Unencrypted Non-C2 Protocol;Debugger Evasion;Overwrite Process Arguments;Endpoint Denial of Service;Timestomp;Bandwidth Hijacking,Business Relationships;APT3;DDoS,Technology,IL,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
34,Data Breach,Asia,Medium,High,In-house,2,1,240,Data Breach;Ransomware,Command Obfuscation;Web Protocols;Defense Evasion,Network Trust Dependencies;SodaMaster;Supply Chain,Technology,CN,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
35,Phishing,Europe,Medium,High,Outsourced,3,4,360,Phishing;DDoS;Remote Access Trojan,Browser Information Discovery;Reflection Amplification;Command And Control;Establish Accounts;XSL Script Processing;Command Obfuscation,FIN4;Supply Chain;Mispadu,Government,NL,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
36,Ransomware,Europe,Large,Medium,Hybrid,4,2,210,Ransomware,Impact;Domain Groups;Privilege Escalation;Replication Through Removable Media;Discovery;Windows File and Directory Permissions Modification,ShimRat;Phishing;Windows Management Instrumentation Event Subscription,Finance,RU,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
37,Data Breach,Middle East,Large,Medium,Hybrid,5,5,180,Data Breach;Ransomware,Defense Evasion;Exfiltration Over Bluetooth;Lateral Movement;Domain Groups;Privilege Escalation;Replication Through Removable Media;Remote Services;Discovery;Silver Ticket,Web Shell;Web Portal Capture;ShrinkLocker,Healthcare,TR,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
38,Phishing,North America,Medium,High,In-house,5,5,240,Phishing;Ransomware,Spearphishing Attachment;Credential Access;Lateral Movement;Execution,Modify Cloud Compute Configurations;Moonstone Sleet;Exaramel for Windows,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
39,Banking Trojan,Oceania,Medium,Medium,In-house,4,2,210,Banking Trojan;Web Shell,Multi-Factor Authentication;Delete Cloud Instance;Browser Information Discovery;Command And Control;Resource Development;Bypass User Account Control;Develop Capabilities;Persistence,Business Relationships;Phishing;SodaMaster;Sandworm Team,Manufacturing,AU,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering,Espionage;Financial;Fun
40,Data Breach,North America,Large,Medium,In-house,1,4,60,Data Breach;DDoS,Botnet;Reconnaissance;Relocate Malware;Disk Wipe;Exfiltration Over Unencrypted Non-C2 Protocol;Resource Development,Resource Hijacking;Crypto Miner;SodaMaster,Trade,MX,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Everything Else,Financial;Fun;Grudge
41,Banking Trojan,North America,Large,Low,In-house,5,4,300,Banking Trojan;Web Shell,Mshta;Discovery;Credential Access;DNS Server;Spearphishing Voice;Remote Desktop Protocol,Play;Phishing;Remote Service Session Hijacking;P.A.S. Webshell,Other Services,US,Credentials;Internal;Medical;Other;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
42,Ransomware,North America,Medium,High,Outsourced,4,5,270,Ransomware;Remote Access Trojan,Remote Email Collection;Remote Access Tools;DNS Server;Execution;Resource Development;Discovery;Dynamic Data Exchange;Reconnaissance;Windows File and Directory Permissions Modification;Browser Information Discovery;Privilege Escalation,Steal Application Access Token;Banking Trojan;Gamaredon Group;NightClub,Education,US,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
43,Web Shell,Asia,Large,Low,Hybrid,3,4,210,Web Shell;Data Breach;Supply Chain,Ingress Tool Transfer;Disk Wipe;Gather Victim Identity Information;Resource Development,Replication Through Removable Media;Data Breach;DarkTortilla;Gallmaker,Transportation,CN,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
44,Ransomware,Africa,Medium,Low,Hybrid,3,1,210,Ransomware;Web Shell,Gather Victim Identity Information;Collection;Impact;Ingress Tool Transfer;Mshta;Execution;Lateral Movement;Windows Management Instrumentation Event Subscription,Aquatic Panda;ShrinkLocker;Modify Cloud Compute Configurations;Phishing,Education,ZA,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
45,Web Shell,Europe,Medium,Medium,Hybrid,3,1,120,Web Shell;Ransomware,System Network Configuration Discovery;Group Policy Modification;Resource Development;File Transfer Protocols;Acquire Infrastructure;RC Scripts,Replication Through Removable Media;NightClub;Web Shell;Play,Education,CH,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
46,Remote Access Trojan,North America,Medium,Medium,Hybrid,1,1,150,Remote Access Trojan;Ransomware;Data Breach,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Local Data Staging;Databases;Cloud Accounts,Chaos;Windows Management Instrumentation Event Subscription;Insider Threat;Sandworm Team,Finance,US,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
47,Web Shell,Asia,Large,High,In-house,4,5,30,Web Shell;Data Breach,Remote Services;Disable or Modify Network Device Firewall;Resource Development;Impact;Clear Command History;RC Scripts;DNS Server;Dynamic Data Exchange;Password Guessing,Insider Threat;P.A.S. Webshell;Web Portal Capture;Sandworm Team,Finance,IN,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
48,Banking Trojan,Africa,Small,Low,Outsourced,3,1,210,Banking Trojan,Establish Accounts;Privilege Escalation;Archive via Custom Method;Command And Control;Delete Cloud Instance,Aquatic Panda;Remote Access Trojan;LSASS Memory;Meteor,Professional Services,ZA,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
49,Phishing,Asia,Small,Medium,Outsourced,4,2,150,Phishing;Data Breach,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Social Media Accounts;Parent PID Spoofing;Registry Run Keys / Startup Folder;Exfiltration Over Unencrypted Non-C2 Protocol;Archive via Custom Method,Data Encrypted for Impact;NightClub;Play;Data Breach,Healthcare,IN,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
50,Remote Access Trojan,Africa,Medium,Medium,Hybrid,2,5,150,Remote Access Trojan;Insider Threat;Data Breach,SMB/Windows Admin Shares;Web Services;Vulnerability Scanning;Privilege Escalation;Password Guessing;Databases,ShrinkLocker;Windows Management Instrumentation Event Subscription;Remote Access Trojan,Government,ZA,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
51,Web Shell,Africa,Large,High,Outsourced,3,2,120,Web Shell,System Network Configuration Discovery;Defense Evasion,RTM;Windows Management Instrumentation Event Subscription;NightClub;Data Breach,Retail,ZA,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
52,Ransomware,North America,Medium,High,Hybrid,1,5,60,Ransomware;Banking Trojan;Web Shell,Execution;Browser Information Discovery;Defense Evasion,Business Relationships;Ransomware;SilverTerrier;Pacu,Retail,MX,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
53,Web Shell,Oceania,Large,Low,Hybrid,3,2,180,Web Shell;Ransomware,Digital Certificates;Lateral Movement;Gather Victim Identity Information;Initial Access;System Network Configuration Discovery,Poseidon Group;Banking Trojan;ShimRat,Technology,AU,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
54,Web Shell,Europe,Small,Low,Outsourced,1,2,60,Web Shell;Data Breach,Silver Ticket;Mshta;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Password Guessing,Play;VERMIN;LSASS Memory,Education,RU,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
55,Web Shell,Asia,Medium,Low,Hybrid,1,1,180,Web Shell;Remote Access Trojan;Data Breach,Ingress Tool Transfer;Discovery;Execution;Publish/Subscribe Protocols;Command And Control;Lateral Tool Transfer;DNS Server;Disable or Modify Network Device Firewall;Vulnerability Scanning,Phishing;Exfiltration Over Unencrypted Non-C2 Protocol;APT3,Technology,KR,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
56,Crypto Miner,North America,Medium,Low,Hybrid,3,2,180,Crypto Miner,SMB/Windows Admin Shares;Invalid Code Signature;Group Policy Discovery,Meteor;Ke3chang;Replication Through Removable Media,Technology,US,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
57,Web Shell,Africa,Medium,Low,In-house,5,2,210,Web Shell;Data Breach,Archive via Custom Method;Execution;Local Data Staging;Domain Groups;Collection;Registry Run Keys / Startup Folder;Exfiltration Over Bluetooth;Disable or Modify Network Device Firewall;Lateral Tool Transfer;Ingress Tool Transfer,Zeus Panda;Moonstone Sleet;Banking Trojan,Technology,ZA,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
58,Ransomware,Africa,Small,Low,Hybrid,4,1,120,Ransomware,Initial Access;Lateral Movement;Acquire Infrastructure;Resource Development;Web Protocols;Discovery;Dynamic Data Exchange,ShrinkLocker;Ransomware;Web Portal Capture;APT3,Healthcare,ZA,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
59,Banking Trojan,Oceania,Medium,Low,Hybrid,1,4,270,Banking Trojan,Multi-Factor Authentication;Discovery;Code Repositories;Multi-Factor Authentication Request Generation;Privilege Escalation;Develop Capabilities,Insider Threat;LSASS Memory;Zeus Panda,Professional Services,NZ,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
60,Data Breach,North America,Medium,Medium,Outsourced,2,1,210,Data Breach,Domain Groups;Registry Run Keys / Startup Folder;Resource Development;Exfiltration Over Unencrypted Non-C2 Protocol;Remote Services;Silver Ticket;Archive via Custom Method;Disable or Modify Network Device Firewall;Privilege Escalation;Exfiltration Over Bluetooth,Ransomware;Kinsing;Network Trust Dependencies,Retail,US,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
61,Data Breach,Middle East,Large,High,In-house,5,2,300,Data Breach,Password Guessing;Privilege Escalation;Resource Development;Reconnaissance;Dynamic Data Exchange;Remote Services;Exfiltration Over Unencrypted Non-C2 Protocol;Collection;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Cloud Accounts,Ransomware;Steal Application Access Token;P.A.S. Webshell;Poseidon Group,Retail,IL,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
62,Remote Access Trojan,Oceania,Large,Medium,In-house,4,2,120,Remote Access Trojan,Discovery;Remote Access Tools;Virtual Private Server;Resource Development;DNS;Data Encoding;Defense Evasion;Browser Information Discovery,Web Shell;Sandworm Team;Chaos,Education,AU,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
63,Data Breach,North America,Medium,Medium,Outsourced,3,5,240,Data Breach;Ransomware;Supply Chain,Lateral Movement;Execution;Code Signing Certificates;Invalid Code Signature,Remote Access Tools;NightClub;Web Shell,Retail,US,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
64,Ransomware,Oceania,Large,High,In-house,5,1,150,Ransomware,Browser Information Discovery;Windows Management Instrumentation Event Subscription;Discovery,Play;Modify Cloud Compute Configurations;Banking Trojan;NightClub,Education,AU,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
65,Remote Access Trojan,Europe,Medium,Low,Hybrid,3,4,30,Remote Access Trojan;Data Breach,Publish/Subscribe Protocols;Resource Development;DNS Server;RC Scripts;Search Victim-Owned Websites;Data Encoding;Discovery;Dynamic Data Exchange;Remote Email Collection;Reconnaissance;DNS,DDoS;Aquatic Panda;REvil;Replication Through Removable Media,Education,GB,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
66,Data Breach,Europe,Large,High,Outsourced,4,4,150,Data Breach;Remote Access Trojan,Local Data Staging;Impact;Command And Control;Publish/Subscribe Protocols;Cloud Accounts;Resource Development;Defense Evasion;Discovery;Remote Services;Data Encoding,Remote Access Trojan;Zeus Panda;Code Signing,Education,IE,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
67,Web Shell,North America,Medium,Low,Outsourced,3,2,150,Web Shell;Ransomware,Impact;Windows File and Directory Permissions Modification;Collection;File Transfer Protocols;Vulnerability Scanning;Resource Development,Replication Through Removable Media;TA577;DarkTortilla;Data Breach,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
