EXID,ExCreation,ExThreat,ExTTPs,ExCategories,ExGroups,ExSoftware,ExStructure,ExMaturity,ExComplexity,ExLength,ExAudience,ExTradeCraftIntra,ExTradeCraftInter,ExTechniqueIDs,ExTactics,ExPlatforms,ExDataSources
11,2020-09-08,Web Shell,Ingress Tool Transfer;Data Encrypted for Impact;System Network Configuration Discovery;Remote Desktop Protocol;Local Accounts;Gather Victim Identity Information,Exfiltration;Initial Access;C2,Earth Lusca;Darkhotel;APT28;Lotus Blossom;Magic Hound;Sandworm Team,Netwalker;Squirrelwaffle;Azorult;HyperBro,Media;Developments;Impact;Validation;Legal;Response;Privacy;Exfiltration;Detection,3,3,90,Network;SecOps,0.794852,0.915287,T1105;T1486;T1016;T1021.001;T1078.003;T1589,command-and-control;defense-evasion;discovery;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance,Containers;ESXi;IaaS;Linux;Network Devices;PRE;Windows;macOS,Multi-event Detection Strategy for RDP-Based Remote Logins and Post-Access Activity;Behavioral Detection of System Network Configuration Discovery;Detect Ingress Tool Transfers via Behavioral Chain;Detection of Local Account Abuse for Initial Access and Persistence;Detection of Multi-Platform File Encryption for Impact;Detection of Gather Victim Identity Information
12,2022-06-18,Banking Trojan;Crypto Miner,Establish Accounts;Spearphishing Voice;BITS Jobs,Financial;Botnet,APT39;Ember Bear;Kimsuky;Leviathan;Fox Kitten;APT41;Patchwork;Contagious Interview;Wizard Spider;APT17;Storm-1811,Egregor;Bazar;JPIN;MarkiRAT,Privacy;Impact;Detection;Developments;Media;Exfiltration;Validation;Legal;Notification;Response,1,5,30,Threat Intel;SecOps,0.344,0.966218,T1585;T1566.004;T1197,defense-evasion;initial-access;persistence;resource-development,Identity Provider;Linux;PRE;Windows;macOS,"Detection of Establish Accounts;Detection Strategy for Spearphishing Voice across OS platforms;Detect abuse of Windows BITS Jobs for download, execution and persistence"
13,2024-09-01,DDoS,Botnet;Impact;Command Obfuscation,Botnet;Impact;Web,HAFNIUM;FIN7;Fox Kitten;TA505;Silence;Medusa Group;Chimera;Sidewinder;APT32;FIN6,BackConfig;BADHATCH;Sardonic;Empire;SQLRat,Impact;Privacy;Developments;Detection;Response;Media;Notification;Exfiltration;Validation;Legal,1,5,180,Vulnerability Management;Exec,0.762133,0.690549,T1583.005;T1498.002;T1027.010,defense-evasion;impact;resource-development,IaaS;Linux;PRE;Windows;macOS,Detection of Botnet;Detection Strategy for Reflection Amplification DoS (T1498.002);Detection Strategy for Command Obfuscation
14,2025-01-25,Phishing;Ransomware,Reconnaissance;Code Repositories,Ransom negotiation;Impact;Dark web,HAFNIUM;HEXANE;LAPSUS$;Contagious Interview;FIN7;Volt Typhoon,SMOKEDHAM;AADInternals,Privacy;Validation;Media;Response;Legal;Detection;Developments;Exfiltration;Impact,4,4,90,Threat Intel;SecOps,0.395415,0.814725,T1591.004;T1593.003,reconnaissance,PRE,Detection of Code Repositories;Detection of Identify Roles
15,2025-11-08,Web Shell,Reconnaissance;Group Policy Modification;File Transfer Protocols,APT;C2,Cinnamon Tempest;Indrik Spider;Kimsuky;APT41;SilverTerrier;Storm-0501,Disco;Regin;Empire;Qilin;Meteor,Privacy;Developments;Exfiltration,2,3,165,Threat Intel;SecOps,0.872622,0.836318,T1592;T1484.001;T1071.002,command-and-control;defense-evasion;privilege-escalation;reconnaissance,ESXi;Linux;Network Devices;PRE;Windows;macOS,"Detection of Gather Victim Host Information;Detection of Group Policy Modifications via AD Object Changes and File Activity;Detection of File Transfer Protocol-Based C2 (FTP, FTPS, SMB, TFTP)"
16,2020-08-28,Data Breach,Resource Development;Exfiltration Over Bluetooth;Cloud Accounts;Kerberoasting;Remote Services;Cloud Services;Exfiltration to Text Storage Sites,Data breach;Impact;Dark web,FIN7;Scattered Spider;Storm-0501;APT29;Indrik Spider;Wizard Spider;Ember Bear;Aquatic Panda;Storm-1811,Empire;MacMa;Stuxnet,Validation;Privacy;Media;Detection;Impact;Exfiltration,1,5,180,Legal;SecOps,0.613963,1.0,T1586;T1011.001;T1586.003;T1558.003;T1021;T1585.003;T1021.007;T1567.003,credential-access;exfiltration;lateral-movement;resource-development,ESXi;IaaS;Identity Provider;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detect Kerberoasting Attempts (T1558.003);Detection of Cloud Accounts;Detection Strategy for Exfiltration to Text Storage Sites;Behavioral Detection Strategy for Remote Service Logins and Post-Access Activity;Detection of Bluetooth-Based Data Exfiltration;Detection of Compromise Accounts;Behavioral Detection of Remote Cloud Logins via Valid Accounts
17,2023-12-18,Supply Chain,Resource Development;Compromise Hardware Supply Chain;Gather Victim Org Information,Supply Chain;Dark web;APT;Malware,Kimsuky;FIN7;Volt Typhoon;FIN8;Wizard Spider;APT28,MegaCortex,Impact;Developments;Detection;Notification;Legal;Privacy;Exfiltration,4,4,30,Exec;SecOps,0.733695,0.866539,T1588.003;T1195.003;T1591,initial-access;reconnaissance;resource-development,Linux;PRE;Windows;macOS,Hardware Supply Chain Compromise Detection via Host Status & Boot Integrity Checks;Detection of Gather Victim Org Information;Detection of Code Signing Certificates
18,2021-01-09,Supply Chain,Poisoned Pipeline Execution;Compromise Hardware Supply Chain;Compromise Software Dependencies and Development Tools;DNS/Passive DNS,Malware;Initial Access;Supply Chain,Winter Vivern;Cinnamon Tempest;FIN8;Inception;APT33;Sowbug;DarkHydrus;Magic Hound;FIN10;MuddyWater;BlackByte;Dark Caracal;Ajax Security Team;Leviathan,BeaverTail,Notification;Media;Validation;Developments;Response;Privacy;Detection,2,4,105,Exec;SecOps,0.462885,0.917851,T1677;T1195.003;T1195.001;T1596.001,execution;initial-access;reconnaissance,Linux;PRE;SaaS;Windows;macOS,Supply-chain tamper in dependencies/dev-tools (manager→write/install→first-run→egress);Detection of DNS/Passive DNS;Detection Strategy for Poisoned Pipeline Execution via SaaS CI/CD Workflows;Hardware Supply Chain Compromise Detection via Host Status & Boot Integrity Checks
19,2024-04-21,Supply Chain;Banking Trojan,Discovery;Collection;Archive via Custom Method;Transmitted Data Manipulation;Multi-Factor Authentication;Credential Access;Code Repositories;Outlook Home Page,Data breach;Supply Chain;Botnet;Malware,Kimsuky;HEXANE;Silence;BRONZE BUTLER;APT38;FIN5;Scattered Spider;OilRig;FIN13;APT3;Lazarus Group;APT5;Fox Kitten;Mustang Panda;APT32;Medusa Group,Raccoon Stealer;NETWIRE;Olympic Destroyer;metaMain;RATANKBA,Privacy;Media;Validation;Legal;Exfiltration;Notification;Developments,3,5,60,Exec;SecOps,0.389543,1.0,T1018;T1213;T1560.003;T1565.002;T1556.006;T1003.002;T1213.003;T1137.004,collection;credential-access;defense-evasion;discovery;impact;persistence,ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Detection Strategy of Transmitted Data Manipulation;Detect Persistence via Outlook Home Page Exploitation;Detecting Bulk or Anomalous Access to Private Code Repositories via SaaS Platforms;Detect Archiving via Custom Method (T1560.003);Detect MFA Modification or Disabling Across Platforms;Abuse of Information Repositories for Data Collection;Credential Dumping from SAM via Registry Dump and Local File Access;Detection Strategy for Remote System Enumeration Behavior
20,2023-09-02,Data Breach,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Disable or Modify Network Device Firewall;Local Data Staging;Resource Development;Password Guessing;Multi-Factor Authentication Request Generation;Exfiltration Over Unencrypted Non-C2 Protocol;Password Cracking,Dark web;Data breach;Impact,TeamTNT;BackdoorDiplomacy;OilRig;APT5;Scattered Spider;Wizard Spider;FIN6;Lotus Blossom;Leviathan;Kimsuky;Storm-1811;FIN8,Exaramel for Windows;Kessel;ftp;AuTo Stealer,Developments;Legal;Exfiltration;Media;Response;Validation;Notification;Privacy,4,2,135,Threat Intel;SecOps,0.54524,1.0,T1048.002;T1562.013;T1074.001;T1650;T1110.001;T1621;T1048.003;T1110.002,collection;credential-access;defense-evasion;exfiltration;resource-development,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,Post-Credential Dump Password Cracking Detection via Suspicious File Access and Hash Analysis Tools;Detection of Exfiltration Over Unencrypted Non-C2 Protocol;Unauthorized Network Firewall Rule Modification (T1562.013);Detection of Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Password Guessing via Multi-Source Authentication Failure Correlation;Detection of Acquire Access;Detection of Local Data Staging Prior to Exfiltration;Detection Strategy for Multi-Factor Authentication Request Generation (T1621)
21,2024-07-03,Remote Access Trojan,Databases;Local Data Staging;Execution;DNS,APT;Initial Access;Exfiltration;C2,OilRig;APT39;FIN13;Blue Mockingbird;APT42;Cobalt Group,LunarWeb;SampleCheck5000;Akira;RIFLESPINE,Response;Impact;Notification;Media,4,5,75,Legal;SecOps,0.434808,0.775499,T1213.006;T1074.001;T1047;T1071.004,collection;command-and-control;execution,ESXi;IaaS;Linux;Network Devices;SaaS;Windows;macOS,Suspicious Database Access and Dump Activity Across Environments (T1213.006);Behavioral Detection of DNS Tunneling and Application Layer Abuse;Detection of Local Data Staging Prior to Exfiltration;Behavioral Detection Strategy for WMI Execution Abuse on Windows
22,2023-08-11,Banking Trojan,Command And Control;Develop Capabilities;Web Services;Direct Volume Access;Cloud Secrets Management Stores,Exfiltration;Financial;C2,ZIRCONIUM;Sandworm Team;Sidewinder;TeamTNT;TA505,Meteor,Privacy;Media;Notification;Impact;Detection;Developments;Exfiltration,4,5,30,Media;Legal,0.521329,0.805428,T1105;T1587;T1584.006;T1006;T1555.006,command-and-control;credential-access;defense-evasion;resource-development,ESXi;IaaS;Linux;Network Devices;PRE;Windows;macOS,Detect Unauthorized Access to Cloud Secrets Management Stores;Detect Ingress Tool Transfers via Behavioral Chain;Detection of Develop Capabilities;Detection of Direct Volume Access for File System Evasion;Detection of Web Services
23,2022-06-20,Web Shell;Supply Chain,Execution;Mshta;Digital Certificates,Malware;C2,Confucius;Chimera;Stealth Falcon;Ember Bear;Lotus Blossom;Mustang Panda;BlackByte;APT38;FIN6,Action RAT,Notification;Developments;Detection,3,2,90,SecOps;Exec,0.311408,0.819356,T1047;T1218.005;T1596.003,defense-evasion;execution;reconnaissance,PRE;Windows,Detecting Mshta-based Proxy Execution via Suspicious HTA or Script Invocation;Detection of Digital Certificates;Behavioral Detection Strategy for WMI Execution Abuse on Windows
24,2023-05-22,Banking Trojan,Unix Shell Configuration Modification;IP Addresses;Web Shell;Discovery;Exploitation for Privilege Escalation;VNC;Reversible Encryption;Command And Control,C2;Botnet;Data breach;Malware,Medusa Group;Whitefly;APT32;BackdoorDiplomacy;Magic Hound;APT5;Fox Kitten;BITTER;Tonto Team;Darkhotel,DarkWatchman;Siloscape;POSHSPY;Astaroth,Detection;Impact;Media;Privacy;Validation;Legal;Exfiltration;Notification;Developments,4,5,135,Exec;SecOps,0.586963,0.835855,T1546.004;T1590.005;T1505.003;T1497.002;T1068;T1021.005;T1556.005;T1568.002,command-and-control;credential-access;defense-evasion;discovery;lateral-movement;persistence;privilege-escalation;reconnaissance,Containers;ESXi;Linux;Network Devices;PRE;Windows;macOS,Detection Strategy for Dynamic Resolution using Domain Generation Algorithms.;Detect Shell Configuration Modification for Persistence via Event-Triggered Execution;Detection Strategy for Exploitation for Privilege Escalation;Detection of IP Addresses;Behavioral Detection of Unauthorized VNC Remote Control Sessions;Detect User Activity Based Sandbox Evasion via Input & Artifact Probing;Detect Modification of Authentication Process via Reversible Encryption;Web Shell Detection via Server Behavior and File Execution Chains
25,2022-08-02,Banking Trojan,Input Capture;Execution Guardrails;Systemd Service;Data Encrypted for Impact;Fallback Channels,Botnet;C2;Exfiltration;Malware,Magic Hound;Contagious Interview;Lazarus Group;APT41,SynAck;Small Sieve;Pysa;RedLine Stealer;Cuba,Impact;Detection;Privacy;Legal;Developments;Validation;Response;Notification,5,3,30,Threat Intel;SecOps,0.513106,0.861444,T1056;T1480;T1543.002;T1486;T1008,collection;command-and-control;credential-access;defense-evasion;impact;persistence;privilege-escalation,ESXi;IaaS;Linux;Network Devices;Windows;macOS,Multi-Platform Execution Guardrails Environmental Validation Detection Strategy;Behavioral Detection of Input Capture Across Platforms;Detection of Systemd Service Creation or Modification on Linux;Behavioral Detection of Fallback or Alternate C2 Channels;Detection of Multi-Platform File Encryption for Impact
26,2024-07-27,DDoS,Network Denial of Service;Impact,Botnet;DDoS,Storm-1811;Ember Bear;Wizard Spider;Sandworm Team;SilverTerrier;Medusa Group;INC Ransom;Scattered Spider;Water Galura;AppleJeus;Indrik Spider;Malteiro;APT37;Gamaredon Group;TeamTNT,NKAbuse,Validation;Developments;Response;Notification;Privacy;Media;Impact;Detection,1,3,240,Threat Intel;Vulnerability Management,0.469986,0.907294,T1498;T1499.003,impact,Containers;IaaS;Linux;Windows;macOS,Behavioral Detection of T1498 – Network Denial of Service Across Platforms;Application Exhaustion Flood Detection Across Platforms
27,2025-12-18,Remote Access Trojan,Data Encoding;Publish/Subscribe Protocols,APT;C2,Cobalt Group;WIRTE;Dark Caracal;Lazarus Group;Daggerfly;Mustang Panda;Whitefly;Molerats;BackdoorDiplomacy;RedCurl;Rocke,Mythic;GLOOXMAIL;Ursnif,Media;Validation;Exfiltration;Detection;Privacy;Developments;Impact,1,4,180,Exec;Media,0.715503,1.0,T1132;T1071.005,command-and-control,ESXi;Linux;Network Devices;Windows;macOS,Behavioral Detection of Publish/Subscribe Protocol Misuse for C2;Detection Strategy for Data Encoding in C2 Channels
28,2021-03-18,DDoS,Debugger Evasion;Bandwidth Hijacking;Privilege Escalation;Impact;Disable or Modify Cloud Firewall,C2;Impact,Suckfly;menuPass;Patchwork;RedCurl;Storm-0501;FIN4;admin@338;Group5;Winter Vivern;The White Company;Scarlet Mimic;Sandworm Team;PLATINUM;Sowbug;Salt Typhoon;APT1,Pikabot;DarkTortilla;Black Basta,Detection;Impact;Exfiltration;Notification;Validation;Privacy,2,4,60,SecOps;Media,0.672583,1.0,T1622;T1496.002;T1098.005;T1499.001;T1562.007,defense-evasion;discovery;impact;persistence;privilege-escalation,Containers;IaaS;Identity Provider;Linux;Windows;macOS,"Detect Excessive or Unauthorized Bandwidth Usage for Botnet, Proxyjacking, or Scanning Purposes;Detection Strategy for Debugger Evasion (T1622);Detection Strategy for Disable or Modify Cloud Firewall;Suspicious Device Registration via Entra ID or MFA Platform;Endpoint DoS via OS Exhaustion Flood Detection Strategy"
29,2024-10-04,DDoS,Credential Access;Overwrite Process Arguments,DDoS;Botnet,Mustang Panda;Kimsuky;Sea Turtle,Dok;Line Runner,Developments;Exfiltration;Validation;Legal;Response,1,5,60,Exec;Vulnerability Management,0.372763,0.868934,T1557;T1036.011,collection;credential-access;defense-evasion,Linux;Network Devices;Windows;macOS,Detect Adversary-in-the-Middle via Network and Configuration Anomalies;Detection Strategy for Overwritten Process Arguments Masquerading
30,2022-06-05,Web Shell,Lateral Tool Transfer;Defense Evasion;Remote Desktop Protocol;Windows Service;Match Legitimate Resource Name or Location;Hidden Files and Directories,APT;Web,APT38;ToddyCat;MuddyWater;INC Ransom;Tropic Trooper;Threat Group-3390;HAFNIUM;Rocke,KGH_SPY;PoetRAT;Skidmap;Carbon,Media;Impact;Developments;Notification;Exfiltration;Legal;Privacy;Detection;Response,4,1,90,Media;SecOps,0.116828,0.863027,T1570;T1027.012;T1021.001;T1543.003;T1036.005;T1564.001,defense-evasion;lateral-movement;persistence;privilege-escalation,Containers;ESXi;Linux;Windows;macOS,Multi-event Detection Strategy for RDP-Based Remote Logins and Post-Access Activity;Detection Strategy for LNK Icon Smuggling;Detection of Windows Service Creation or Modification;Detection Strategy for Hidden Files and Directories;Detection Strategy for Lateral Tool Transfer across OS platforms;Detection Strategy for Masquerading via Legitimate Resource Name or Location
31,2020-06-28,Supply Chain,Persistence;Compromise Software Supply Chain,APT;Dark web;Malware;Initial Access,Mustang Panda;GOLD SOUTHFIELD;Threat Group-3390;Daggerfly;FIN7;Sandworm Team;Cobalt Group;Moonstone Sleet;APT41;Dragonfly,GoldenSpy,Legal;Developments;Response;Notification;Privacy;Exfiltration;Detection;Media;Impact,4,2,60,Network;SecOps,0.922983,0.701182,T1176.002;T1195.002,initial-access;persistence,Linux;Windows;macOS,Detect malicious IDE extension install/usage and IDE tunneling;Compromised software/update chain (installer/write → first-run/child → egress/signature anomaly)
32,2021-09-04,Banking Trojan,Data from Local System;DLL;Command And Control;Lateral Movement;RDP Hijacking;Delete Cloud Instance;Pass the Ticket;Defense Evasion,C2;Exfiltration,SideCopy;MuddyWater;FIN7;Magic Hound;APT28;Patchwork;APT32;TA2541;RedCurl;Sandworm Team;APT1;menuPass,SysUpdate;TinyTurla;NPPSPY,Privacy;Media;Developments;Impact,5,5,90,Legal;SecOps,0.731514,0.616136,T1005;T1574.001;T1132.001;T1080;T1563.002;T1578.003;T1550.003;T1218.005,collection;command-and-control;defense-evasion;lateral-movement;persistence;privilege-escalation,ESXi;IaaS;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,"Detecting Mshta-based Proxy Execution via Suspicious HTA or Script Invocation;Detection Strategy for Modify Cloud Compute Infrastructure: Delete Cloud Instance;Detection fo Remote Service Session Hijacking for RDP.;Behavior-chain detection for T1132.001 Data Encoding: Standard Encoding (Base64/Hex/MIME) across Windows, Linux, macOS, ESXi;Detection Strategy for T1550.003 - Pass the Ticket (Windows);Detection of Tainted Content Written to Shared Storage;Detection of Local Data Collection Prior to Exfiltration;Detection Strategy for Hijack Execution Flow for DLLs"
33,2024-07-19,Banking Trojan,Process Injection;Credential Access;Acquire Access;Resource Development,Botnet;Malware;C2;Exfiltration,APT28;Mustang Panda;APT32;APT37;PLATINUM;Medusa Group;Agrius,Waterbear;REvil;HOPLIGHT;JHUHUGIT,Developments;Response;Media,4,4,30,SecOps;Media,0.568005,0.899378,T1055;T1003.002;T1650;T1583.006,credential-access;defense-evasion;privilege-escalation;resource-development,Linux;PRE;Windows;macOS,Detection of Acquire Access;Detection of Web Services;Behavioral Detection of Process Injection Across Platforms;Credential Dumping from SAM via Registry Dump and Local File Access
